Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,3,1,0,5.00E-01,4
2,3,0,3,1,5.00E-01,2
3,0,3,1,1,5.00E-01,4
4,0,3,2,1,5.00E-01,2
5,3,0,3,0,5.00E-01,2
6,0,3,3,1,3.50E+00,4
7,3,4,2,1,3.50E+00,2
8,0,3,2,1,5.00E-01,4
9,3,0,2,0,5.00E-01,2
10,3,0,1,0,5.00E-01,4
11,3,0,2,0,5.00E-01,2
12,0,3,2,0,2,3
13,0,3,1,1,3.50E+00,3
14,0,3,3,1,5.00E-01,2
15,3,0,3,0,5.00E-01,4
16,3,0,2,0,2,2
17,3,0,2,1,2,2
18,0,3,3,0,3.50E+00,4
19,0,3,2,1,2,2
20,3,0,3,1,5.00E-01,4
21,0,3,2,0,5.00E-01,2
22,0,3,1,1,5.00E-01,4
23,0,3,2,1,5.00E-01,4
24,3,0,1,0,2,2
25,3,0,2,0,2,4
26,0,3,3,0,5.00E-01,2
27,0,3,3,1,5.00E-01,2
28,3,0,1,1,2,3
29,0,3,1,0,3.50E+00,2
30,3,0,1,1,5.00E-01,2
31,0,3,3,0,3.50E+00,4
32,0,3,1,0,2,4
33,3,0,3,1,5.00E-01,2
34,3,0,1,0,5.00E-01,2
35,3,0,3,0,2,3
36,3,0,1,1,2,3
